	Coexpression	CC-124 Dark anoxic .5 hour	CC-124 Dark anoxic 6 hours	CC-124 Light oxic	crr1 Dark oxic .5 hour	crr1 Dark oxic 6 hours (1)	crr1 Dark oxic 6 hours (2)	crr1 Light oxic (1)	crr1 Light oxic (2)	crr1:CRR1 Dark anoxic .5 hour (1)	crr1:CRR1 Dark anoxic .5 hour (2)	crr1:CRR1 Dark anoxic 6 hours (1)	crr1:CRR1 Dark anoxic 6 hours (2)	crr1:CRR1 Light oxic (1)	crr1:CRR1 Light oxic (2)	crr1dCys Dark anoxic .5 hour (1)	crr1dCys Dark anoxic .5 hour (2)	crr1dCys Dark anoxic 6 hours (1)	crr1dCys Dark anoxic 6 hours (2)	crr1dCys Light oxic (1)	crr1dCys Light oxic (2)	defline
Cre06.g273100	1	13.9934	10.8941	11.7201	28.4686	14.6451	12.197	19.7496	23.6322	34.6292	29.769	4.96415	12.1493	27.4931	27.2494	35.4138	26.9655	16.3706	9.67948	50.8631	33.1039	weakly Similar to Beta-Glucan Synthesis-Associated
Cre12.g509200	0.935154	6.45361	6.44582	5.193	9.43456	5.96878	5.98481	7.76008	7.9146	8.67057	7.67872	4.57761	5.55203	8.17481	8.71931	8.08611	7.50739	7.03364	5.69898	10.2961	7.94405	(1 of 1) PTHR12281:SF2 - DCN1-LIKE PROTEIN 2
Cre01.g014850	0.91973	2.9944	2.22618	3.27621	6.13496	3.52551	3.61322	6.17663	5.21021	7.78206	6.07112	2.0572	3.15921	6.32532	5.69007	6.55091	6.36859	4.08887	3.77633	6.56592	7.41055	Flagellar Associated Protein 381
Cre16.g681750	0.914543	5.92448	6.19726	4.21724	44.2429	12.2649	9.32809	50.2277	75.0218	40.41	43.9903	0.478515	11.8913	41.9194	64.8864	32.0074	22.7583	4.62994	4.5043	100.033	72.2079	Alpha-amylase
Cre08.g384750	0.908163	8.17603	2.85969	4.60967	31.5505	11.3345	8.57761	21.7416	19.3032	28.0494	19.9839	1.536	7.57398	15.9544	15.315	32.2021	30.9067	11.9129	8.87606	25.4155	27.983	Thioredoxin-like
Cre01.g052150	0.903813	2.95989	2.93187	2.20384	5.65406	3.09533	2.74435	3.80567	4.39986	5.08731	4.74403	1.26338	3.05116	4.24073	3.48461	4.98966	3.99544	3.11306	1.73286	5.01215	3.31002	Flagellar Associated Protein 87
Cre11.g480950	0.903063	24.3379	10.7383	21.0778	40.2929	17.3569	20.9416	45.2038	34.3926	41.5828	42.1045	5.79919	17.0198	45.6629	42.7484	51.8953	45.1316	27.8132	30.3576	58.4875	50.3288	High mobility group protein
Cre10.g423800	0.90288	1.92126	1.36689	1.72619	3.10568	1.76369	2.21734	2.57842	2.52864	3.11092	3.70104	0.862401	1.98326	2.83742	2.93063	3.40019	3.93672	2.24013	1.99346	2.75443	3.57853	(1 of 1) K10885 - ATP-dependent DNA helicase 2 subunit 2 (XRCC5, KU80, G22P2)
Cre17.g717750	0.890103	9.59258	8.56177	11.477	15.8942	8.90891	8.97223	14.6842	13.9936	16.6977	14.2776	5.80129	8.71914	12.5249	11.1872	15.562	14.378	10.5822	10.4173	15.0484	12.9701	
Cre12.g541550	0.884791	5.84124	3.12445	3.40961	22.1917	5.89469	6.52908	16.1179	14.3272	23.4823	16.7581	0.414022	4.75024	9.95283	14.5046	19.2164	23.0325	7.18311	6.841	14.1238	15.784	D-type cyclin
