"Source","Target","Weight"
"Cre01.g009500","Cre01.g004926",0.172244315446169
"Cre01.g010350","Cre01.g004926",0.160102862007851
"Cre01.g030650","Cre01.g004926",0.183729644147496
"Cre02.g090150","Cre01.g004926",0.191192075137841
"Cre02.g095102","Cre01.g004926",0.134279287183587
"Cre02.g112600","Cre01.g004926",0.176904259813597
"Cre03.g173000","Cre01.g004926",0.165353785964614
"Cre03.g200991","Cre01.g004926",0.182056459116733
"Cre04.g224350","Cre01.g004926",0.116986076236291
"Cre04.g229000","Cre01.g004926",0.145320706249631
"Cre05.g238100","Cre01.g004926",0.162731656774285
"Cre06.g264400","Cre01.g004926",0.154093506756035
"Cre06.g270500","Cre01.g004926",0.116826891880086
"Cre06.g275150","Cre01.g004926",0.187919151693215
"Cre06.g278228","Cre01.g004926",0.13681625624435
"Cre07.g314600","Cre01.g004926",0.181768233161817
"Cre07.g319550","Cre01.g004926",0.131285023842546
"Cre07.g323400","Cre01.g004926",0.144321506158192
"Cre07.g331850","Cre01.g004926",0.199604539293962
"Cre07.g342450","Cre01.g004926",0.104150214491351
"Cre07.g348100","Cre01.g004926",0.113101548488865
"Cre08.g370950","Cre01.g004926",0.153597223726803
"Cre09.g387060","Cre01.g004926",0.167888335128638
"Cre09.g396289","Cre01.g004926",0.128128652174329
"Cre09.g400250","Cre01.g004926",0.142100884707535
"Cre10.g448100","Cre01.g004926",0.155686945775732
"Cre10.g458900","Cre01.g004926",0.18158805473297
"Cre11.g480079","Cre01.g004926",0.172003673826819
"Cre12.g514300","Cre01.g004926",0.12408484398762
"Cre12.g535800","Cre01.g004926",0.118840822132726
"Cre12.g553600","Cre01.g004926",0.101364843868405
"Cre12.g559700","Cre01.g004926",0.11240571903011
"Cre13.g568316","Cre01.g004926",0.186444922127226
"Cre13.g588800","Cre01.g004926",0.151166790442439
"Cre14.g611517","Cre01.g004926",0.179682578378058
"Cre14.g625350","Cre01.g004926",0.151495862627073
"Cre16.g650300","Cre01.g004926",0.138496884743911
"Cre16.g654950","Cre01.g004926",0.113131763502576
"Cre16.g683250","Cre01.g004926",0.177696984318092
"Cre17.g709876","Cre01.g004926",0.142473842682091
"Cre17.g736329","Cre01.g004926",0.125701069324393
"Cre01.g004926","Cre01.g009500",0.172244315446169
"Cre01.g010350","Cre01.g009500",0.198836082935919
"Cre01.g030650","Cre01.g009500",0.231362416243454
"Cre02.g090150","Cre01.g009500",0.241500301915892
"Cre02.g095102","Cre01.g009500",0.210561879293743
"Cre02.g112600","Cre01.g009500",0.249597308271387
"Cre03.g150400","Cre01.g009500",0.13530742324449
"Cre03.g172800","Cre01.g009500",0.179692468397366
"Cre03.g173000","Cre01.g009500",0.200333529942586
"Cre03.g200991","Cre01.g009500",0.213028096848658
"Cre04.g218450","Cre01.g009500",0.15431021949247
"Cre04.g224350","Cre01.g009500",0.183997521166594
"Cre04.g229000","Cre01.g009500",0.220596432100114
"Cre04.g230928","Cre01.g009500",0.167123691104509
"Cre05.g238100","Cre01.g009500",0.155090291294912
"Cre05.g244850","Cre01.g009500",0.176453693626612
"Cre06.g264400","Cre01.g009500",0.210220987901013
"Cre06.g270500","Cre01.g009500",0.192136674578838
"Cre06.g275150","Cre01.g009500",0.209460661181463
"Cre06.g278134","Cre01.g009500",0.210079123593794
"Cre06.g278228","Cre01.g009500",0.196018551195963
"Cre06.g300350","Cre01.g009500",0.189104296865326
"Cre06.g308450","Cre01.g009500",0.120624750073721
"Cre07.g314600","Cre01.g009500",0.245918373568888
"Cre07.g319550","Cre01.g009500",0.210393558657669
"Cre07.g323400","Cre01.g009500",0.216496421445746
"Cre07.g329882","Cre01.g009500",0.14813950600023
"Cre07.g331850","Cre01.g009500",0.258089209087363
"Cre07.g348100","Cre01.g009500",0.201837763623704
"Cre08.g370950","Cre01.g009500",0.228200662096892
"Cre08.g380763","Cre01.g009500",0.131658917155278
"Cre08.g385950","Cre01.g009500",0.196674376117656
"Cre09.g387060","Cre01.g009500",0.204966811206674
"Cre09.g390750","Cre01.g009500",0.198156933457611
"Cre09.g396289","Cre01.g009500",0.195501078416026
"Cre09.g400250","Cre01.g009500",0.17951734023201
"Cre10.g419350","Cre01.g009500",0.161633612791728
"Cre10.g448100","Cre01.g009500",0.186825892897771
"Cre10.g458900","Cre01.g009500",0.232964574062067
"Cre11.g469400","Cre01.g009500",0.178110579249954
"Cre11.g480079","Cre01.g009500",0.218354831286891
"Cre12.g489350","Cre01.g009500",0.168903944212086
"Cre12.g514300","Cre01.g009500",0.210951247274526
"Cre12.g535800","Cre01.g009500",0.165267092888285
"Cre12.g541750","Cre01.g009500",0.157298872681245
"Cre12.g553600","Cre01.g009500",0.178284224233897
"Cre12.g559700","Cre01.g009500",0.126789569515569
"Cre13.g568316","Cre01.g009500",0.193825467622268
"Cre13.g588800","Cre01.g009500",0.245879912990603
"Cre13.g602300","Cre01.g009500",0.161917090689405
"Cre14.g611517","Cre01.g009500",0.242092163099076
"Cre14.g625350","Cre01.g009500",0.195978407425025
"Cre16.g650300","Cre01.g009500",0.18145085941184
"Cre16.g654950","Cre01.g009500",0.17445404742698
"Cre16.g683250","Cre01.g009500",0.206874236157522
"Cre17.g709876","Cre01.g009500",0.163237931154731
"Cre17.g719522","Cre01.g009500",0.138677150767857
"Cre17.g736329","Cre01.g009500",0.211417588481412
"Cre17.g746147","Cre01.g009500",0.179784016348466
"Cre01.g004926","Cre01.g010350",0.160102862007851
"Cre01.g009500","Cre01.g010350",0.198836082935919
"Cre01.g030650","Cre01.g010350",0.247770938635687
"Cre02.g090150","Cre01.g010350",0.264179261958699
"Cre02.g095102","Cre01.g010350",0.171488084646505
"Cre02.g112600","Cre01.g010350",0.250626216737124
"Cre03.g150400","Cre01.g010350",0.158804832404768
"Cre03.g172800","Cre01.g010350",0.208670267741792
"Cre03.g173000","Cre01.g010350",0.251298892497117
"Cre03.g200991","Cre01.g010350",0.242671667635174
"Cre04.g218450","Cre01.g010350",0.191140153408713
"Cre04.g224350","Cre01.g010350",0.207868231868654
"Cre04.g229000","Cre01.g010350",0.254925742592968
"Cre04.g230928","Cre01.g010350",0.162539538689783
"Cre05.g238100","Cre01.g010350",0.159548745577775
"Cre05.g244850","Cre01.g010350",0.165336997861955
"Cre06.g264400","Cre01.g010350",0.226142808957834
"Cre06.g270500","Cre01.g010350",0.216061321342887
"Cre06.g275150","Cre01.g010350",0.208512327007333
"Cre06.g278134","Cre01.g010350",0.158152606667314
"Cre06.g278228","Cre01.g010350",0.232098846279383
"Cre06.g300350","Cre01.g010350",0.147928520794002
"Cre06.g308450","Cre01.g010350",0.172659119420683
"Cre07.g314600","Cre01.g010350",0.243751201593209
"Cre07.g319550","Cre01.g010350",0.188983515799916
"Cre07.g323400","Cre01.g010350",0.184602287993825
"Cre07.g329882","Cre01.g010350",0.136273211455323
"Cre07.g331850","Cre01.g010350",0.273386575213362
"Cre07.g348100","Cre01.g010350",0.16013528872407
"Cre08.g370950","Cre01.g010350",0.180628399489825
"Cre08.g380763","Cre01.g010350",0.12289659958645
"Cre08.g385950","Cre01.g010350",0.20682361082601
"Cre09.g387060","Cre01.g010350",0.246514799189763
"Cre09.g390750","Cre01.g010350",0.157249106384979
"Cre09.g396289","Cre01.g010350",0.179199861266641
"Cre09.g400250","Cre01.g010350",0.176980835837454
"Cre10.g419350","Cre01.g010350",0.20800171302946
"Cre10.g448100","Cre01.g010350",0.239355938213523
"Cre10.g458900","Cre01.g010350",0.197180406456335
"Cre11.g469400","Cre01.g010350",0.205230941815278
"Cre11.g480079","Cre01.g010350",0.193060112932079
"Cre12.g489350","Cre01.g010350",0.220492378878888
"Cre12.g514300","Cre01.g010350",0.190445034242632
"Cre12.g535800","Cre01.g010350",0.201356740249944
"Cre12.g541750","Cre01.g010350",0.177466323962995
"Cre12.g553600","Cre01.g010350",0.198957102929228
"Cre12.g559700","Cre01.g010350",0.134939489990722
"Cre13.g568316","Cre01.g010350",0.256454930383649
"Cre13.g588800","Cre01.g010350",0.205413436105898
"Cre13.g602300","Cre01.g010350",0.184764656758963
"Cre14.g611517","Cre01.g010350",0.225002149200758
"Cre14.g625350","Cre01.g010350",0.224596031046452
"Cre16.g650300","Cre01.g010350",0.17051750751492
"Cre16.g654950","Cre01.g010350",0.222763914591158
"Cre16.g683250","Cre01.g010350",0.177356172113426
"Cre17.g709876","Cre01.g010350",0.222220275598552
"Cre17.g719522","Cre01.g010350",0.133251525136659
"Cre17.g736329","Cre01.g010350",0.172781703050203
"Cre17.g746147","Cre01.g010350",0.214642103160199
"Cre01.g004926","Cre01.g030650",0.183729644147496
"Cre01.g009500","Cre01.g030650",0.231362416243454
"Cre01.g010350","Cre01.g030650",0.247770938635687
"Cre02.g090150","Cre01.g030650",0.244914576448429
"Cre02.g095102","Cre01.g030650",0.217009218414792
"Cre02.g112600","Cre01.g030650",0.246382764276991
"Cre03.g150400","Cre01.g030650",0.211965552891148
"Cre03.g172800","Cre01.g030650",0.172560115763589
"Cre03.g173000","Cre01.g030650",0.236749894446296
"Cre03.g200991","Cre01.g030650",0.227712921056102
"Cre04.g218450","Cre01.g030650",0.223821237756698
"Cre04.g224350","Cre01.g030650",0.205700948104068
"Cre04.g229000","Cre01.g030650",0.234419744397082
"Cre04.g230928","Cre01.g030650",0.195179075316837
"Cre05.g238100","Cre01.g030650",0.243320765700529
"Cre05.g244850","Cre01.g030650",0.209013054160372
"Cre06.g264400","Cre01.g030650",0.265722940870377
"Cre06.g270500","Cre01.g030650",0.254306436398921
"Cre06.g275150","Cre01.g030650",0.262817417326201
"Cre06.g278134","Cre01.g030650",0.164919639059128
"Cre06.g278228","Cre01.g030650",0.247179816690238
"Cre06.g300350","Cre01.g030650",0.165196590445358
"Cre06.g308450","Cre01.g030650",0.213333992541347
"Cre07.g314600","Cre01.g030650",0.24891589014978
"Cre07.g319550","Cre01.g030650",0.238552050323378
"Cre07.g323400","Cre01.g030650",0.249997523795301
"Cre07.g329882","Cre01.g030650",0.200960258313382
"Cre07.g331850","Cre01.g030650",0.256768172080035
"Cre07.g348100","Cre01.g030650",0.223713106787254
"Cre08.g370950","Cre01.g030650",0.251703976426336
"Cre08.g380763","Cre01.g030650",0.15832368094856
"Cre08.g385950","Cre01.g030650",0.131411955287979
"Cre09.g387060","Cre01.g030650",0.20645007775185
"Cre09.g390750","Cre01.g030650",0.128523394751798
"Cre09.g396289","Cre01.g030650",0.206228146899767
"Cre09.g400250","Cre01.g030650",0.229494112754794
"Cre10.g419350","Cre01.g030650",0.204844835730258
"Cre10.g448100","Cre01.g030650",0.246176396717189
"Cre10.g458900","Cre01.g030650",0.26979154555448
"Cre11.g469400","Cre01.g030650",0.165026755807164
"Cre11.g480079","Cre01.g030650",0.260341386341116
"Cre12.g489350","Cre01.g030650",0.195613099037841
"Cre12.g514300","Cre01.g030650",0.233414895867945
"Cre12.g535800","Cre01.g030650",0.231301993631318
"Cre12.g541750","Cre01.g030650",0.217001231686883
"Cre12.g553600","Cre01.g030650",0.222634204903564
"Cre12.g559700","Cre01.g030650",0.108344822701915
"Cre13.g568316","Cre01.g030650",0.254333489974373
"Cre13.g588800","Cre01.g030650",0.230181663696818
"Cre13.g602300","Cre01.g030650",0.182270536302462
"Cre14.g611517","Cre01.g030650",0.275220116190056
"Cre14.g625350","Cre01.g030650",0.2427381515354
"Cre16.g650300","Cre01.g030650",0.224485290724063
"Cre16.g654950","Cre01.g030650",0.242932994825142
"Cre16.g683250","Cre01.g030650",0.246062399240286
"Cre17.g709876","Cre01.g030650",0.23077237516208
"Cre17.g719522","Cre01.g030650",0.120266676674423
"Cre17.g736329","Cre01.g030650",0.18919013458108
"Cre17.g746147","Cre01.g030650",0.243311243667566
"Cre01.g004926","Cre02.g090150",0.191192075137841
"Cre01.g009500","Cre02.g090150",0.241500301915892
"Cre01.g010350","Cre02.g090150",0.264179261958699
"Cre01.g030650","Cre02.g090150",0.244914576448429
"Cre02.g095102","Cre02.g090150",0.211669164700223
